<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.06	22:00:00	5159.76	5162.44	5149.69	5153.39	15034	0	34
2026.03.06	23:00:00	5153.25	5178.03	5150.78	5171.80	6025	0	34
2026.03.09	01:00:00	5130.12	5135.57	5044.55	5075.99	19716	0	34
2026.03.09	02:00:00	5076.10	5080.10	5028.63	5050.03	22244	0	34
2026.03.09	03:00:00	5049.94	5087.41	5014.95	5069.99	24479	0	39
2026.03.09	04:00:00	5070.02	5099.10	5055.43	5094.84	20342	0	34
2026.03.09	05:00:00	5094.57	5102.11	5081.48	5091.27	14293	0	34
2026.03.09	06:00:00	5091.30	5097.18	5085.16	5090.09	9041	0	34
2026.03.09	07:00:00	5090.19	5140.36	5080.83	5124.21	19273	0	34
2026.03.09	08:00:00	5124.20	5133.96	5097.05	5097.68	18395	0	34
2026.03.09	09:00:00	5097.67	5107.83	5088.47	5098.71	14183	0	34
2026.03.09	10:00:00	5099.05	5110.62	5087.14	5096.48	16376	0	34
2026.03.09	11:00:00	5095.93	5132.44	5095.12	5105.23	15878	0	34
2026.03.09	12:00:00	5105.25	5111.06	5084.08	5087.14	12917	0	34
2026.03.09	13:00:00	5088.27	5097.28	5080.00	5087.93	13041	0	34
2026.03.09	14:00:00	5088.09	5098.66	5088.09	5094.90	3909	0	34
2026.03.09	15:00:00	5094.93	5111.26	5067.30	5073.91	24120	0	34
2026.03.09	16:00:00	5073.95	5115.96	5060.54	5093.86	26620	0	34
2026.03.09	17:00:00	5093.79	5103.40	5079.47	5099.59	19566	0	34
2026.03.09	18:00:00	5099.41	5110.68	5094.66	5104.68	16686	0	34
2026.03.09	19:00:00	5104.55	5106.86	5088.91	5095.78	15493	0	34
2026.03.09	20:00:00	5095.89	5126.24	5092.36	5123.16	13049	0	34
2026.03.09	21:00:00	5123.19	5143.90	5118.41	5140.99	19872	0	34
2026.03.09	22:00:00	5140.95	5147.85	5134.12	5138.45	8401	0	34
2026.03.10	01:00:00	5153.10	5155.92	5135.99	5139.58	9956	0	34
2026.03.10	02:00:00	5139.50	5141.21	5124.94	5130.96	12107	0	34
2026.03.10	03:00:00	5130.11	5186.07	5124.59	5184.12	20187	0	34
2026.03.10	04:00:00	5184.19	5186.79	5163.73	5165.68	15173	0	34
2026.03.10	05:00:00	5165.85	5173.08	5155.59	5157.60	12526	0	34
2026.03.10	06:00:00	5157.52	5166.53	5154.42	5163.73	6977	0	34
2026.03.10	07:00:00	5163.74	5179.19	5163.71	5177.88	9496	0	34
2026.03.10	08:00:00	5177.89	5180.78	5171.92	5175.11	10439	0	34
2026.03.10	09:00:00	5175.09	5181.41	5158.56	5180.87	11852	0	34
2026.03.10	10:00:00	5180.97	5195.07	5174.95	5183.47	12941	0	34
2026.03.10	11:00:00	5183.45	5189.29	5180.62	5182.56	9910	0	34
2026.03.10	12:00:00	5182.54	5183.98	5156.50	5177.15	13520	0	34
2026.03.10	13:00:00	5177.37	5191.86	5171.82	5175.08	14330	0	34
2026.03.10	14:00:00	5175.20	5189.40	5162.42	5186.94	14596	0	34
2026.03.10	15:00:00	5186.93	5228.77	5186.19	5205.62	23397	0	34
2026.03.10	16:00:00	5205.61	5214.31	5185.35	5206.76	21067	0	34
2026.03.10	17:00:00	5206.77	5238.50	5203.21	5228.60	17554	0	34
2026.03.10	18:00:00	5229.14	5235.47	5222.68	5227.58	13686	0	34
2026.03.10	19:00:00	5227.60	5235.32	5223.60	5227.57	15254	0	34
2026.03.10	20:00:00	5227.59	5227.98	5160.92	5191.66	22636	0	34
2026.03.10	21:00:00	5191.57	5207.52	5179.90	5198.63	19402	0	34
2026.03.10	22:00:00	5198.64	5198.86	5191.54	5191.64	6645	0	34
2026.03.11	01:00:00	5189.12	5197.31	5187.65	5197.15	4963	0	34
2026.03.11	02:00:00	5197.16	5219.32	5186.75	5215.47	9976	0	34
2026.03.11	03:00:00	5215.35	5223.23	5208.42	5208.42	13867	0	34
2026.03.11	04:00:00	5208.45	5220.37	5194.23	5217.28	11518	0	34
2026.03.11	05:00:00	5217.24	5220.34	5199.32	5203.26	8199	0	34
2026.03.11	06:00:00	5203.37	5208.46	5199.40	5204.43	4920	0	34
2026.03.11	07:00:00	5204.42	5208.16	5190.82	5199.42	9121	0	34
2026.03.11	08:00:00	5199.60	5210.58	5191.60	5197.47	10701	0	34
2026.03.11	09:00:00	5197.45	5202.00	5184.54	5195.64	11741	0	34
2026.03.11	10:00:00	5195.70	5198.57	5175.43	5187.49	12036	0	34
2026.03.11	11:00:00	5187.53	5197.09	5179.66	5187.69	10429	0	34
2026.03.11	12:00:00	5187.70	5195.24	5177.19	5186.01	9561	0	34
2026.03.11	13:00:00	5186.02	5193.59	5175.56	5181.14	10486	0	34
2026.03.11	14:00:00	5181.10	5196.58	5166.64	5167.50	16266	0	34
2026.03.11	15:00:00	5167.52	5183.11	5149.27	5176.80	20828	0	34
2026.03.11	16:00:00	5176.76	5196.08	5174.49	5183.13	21117	0	34
2026.03.11	17:00:00	5183.20	5185.66	5164.10	5166.27	18405	0	34
2026.03.11	18:00:00	5166.04	5177.90	5163.62	5175.58	15112	0	34
2026.03.11	19:00:00	5175.59	5180.90	5154.57	5169.72	14503	0	34
2026.03.11	20:00:00	5169.46	5178.18	5169.17	5172.48	9478	0	34
2026.03.11	21:00:00	5172.52	5183.50	5169.30	5183.21	8414	0	34
2026.03.11	22:00:00	5183.22	5183.51	5175.15	5176.23	3754	0	34
2026.03.12	01:00:00	5138.61	5157.99	5133.28	5134.49	9764	0	34
2026.03.12	02:00:00	5134.47	5161.52	5125.51	5152.89	11111	0	34
2026.03.12	03:00:00	5152.97	5172.78	5151.51	5168.59	14139	0	34
2026.03.12	04:00:00	5168.37	5174.99	5145.65	5150.63	12543	0	34
2026.03.12	05:00:00	5150.62	5155.47	5147.29	5153.09	8105	0	34
2026.03.12	06:00:00	5153.24	5153.85	5140.48	5142.55	4842	0	34
2026.03.12	07:00:00	5142.54	5157.60	5137.12	5154.35	8405	0	34
2026.03.12	08:00:00	5154.37	5170.20	5147.24	5166.67	9561	0	34
2026.03.12	09:00:00	5166.68	5185.08	5164.47	5182.11	8168	0	34
2026.03.12	10:00:00	5182.13	5189.67	5175.81	5178.08	9688	0	34
2026.03.12	11:00:00	5178.15	5190.34	5174.41	5188.32	8764	0	34
2026.03.12	12:00:00	5188.33	5191.62	5176.29	5182.29	8265	0	34
2026.03.12	13:00:00	5182.24	5183.87	5172.72	5178.94	10621	0	34
2026.03.12	14:00:00	5179.53	5185.50	5163.53	5181.46	18590	0	34
2026.03.12	15:00:00	5181.37	5186.19	5146.31	5151.18	25413	0	34
2026.03.12	16:00:00	5151.13	5163.28	5137.92	5142.60	25338	0	34
2026.03.12	17:00:00	5142.59	5144.87	5109.16	5132.35	23553	0	34
2026.03.12	18:00:00	5132.07	5138.00	5121.18	5123.51	19897	0	34
2026.03.12	19:00:00	5123.30	5129.63	5102.47	5105.29	18447	0	34
2026.03.12	20:00:00	5105.13	5112.51	5090.51	5094.54	17086	0	34
2026.03.12	21:00:00	5094.51	5096.81	5079.07	5084.75	16532	0	34
2026.03.12	22:00:00	5084.84	5090.39	5054.65	5079.60	12186	0	34
2026.03.13	01:00:00	5095.83	5101.26	5089.08	5098.12	10306	0	34
2026.03.13	02:00:00	5098.08	5115.25	5097.34	5113.69	10277	0	34
2026.03.13	03:00:00	5113.65	5124.58	5108.59	5124.48	15734	0	34
2026.03.13	04:00:00	5124.85	5128.57	5110.28	5111.93	12745	0	34
2026.03.13	05:00:00	5111.89	5116.53	5106.30	5115.50	10702	0	34
2026.03.13	06:00:00	5115.37	5118.00	5102.57	5104.24	9328	0	34
2026.03.13	07:00:00	5104.50	5110.94	5098.20	5103.05	12728	0	34
2026.03.13	08:00:00	5103.23	5107.78	5085.68	5088.05	17581	0	34
2026.03.13	09:00:00	5087.78	5094.29	5071.61	5085.19	16301	0	34
2026.03.13	10:00:00	5084.68	5087.92	5060.70	5086.97	17935	0	36
2026.03.13	11:00:00	5086.99	5096.93	5083.43	5089.58	14895	0	36
2026.03.13	12:00:00	5089.55	5098.32	5080.34	5094.80	13628	0	36
2026.03.13	13:00:00	5094.78	5107.73	5086.22	5107.57	14529	0	36
2026.03.13	14:00:00	5107.58	5121.84	5104.42	5118.18	19023	0	36
2026.03.13	15:00:00	5118.20	5121.45	5096.29	5101.27	21883	0	36
2026.03.13	16:00:00	5101.32	5108.01	5035.79	5041.11	25614	0	36
2026.03.13	17:00:00	5041.21	5071.54	5031.92	5034.73	25930	0	36
2026.03.13	18:00:00	5034.03	5052.94	5018.66	5045.92	23616	0	36
2026.03.13	19:00:00	5045.88	5064.01	5043.32	5046.12	19735	0	36
2026.03.13	20:00:00	5046.10	5051.67	5036.04	5046.44	17549	0	36
2026.03.13	21:00:00	5047.45	5049.89	5009.57	5016.50	18343	0	36
2026.03.13	22:00:00	5016.75	5025.20	5012.06	5019.00	10131	0	36
2026.03.16	01:00:00	5024.51	5026.26	4967.75	4997.45	21049	0	36
2026.03.16	02:00:00	4997.44	5031.03	4996.67	5025.69	18111	0	36
2026.03.16	03:00:00	5025.70	5026.50	4982.87	5015.83	24299	0	36
2026.03.16	04:00:00	5015.86	5018.65	4997.74	5003.56	18249	0	36
2026.03.16	05:00:00	5003.57	5020.78	4998.05	5019.13	14038	0	36
2026.03.16	06:00:00	5019.10	5026.18	5012.27	5012.72	9425	0	36
2026.03.16	07:00:00	5012.69	5019.92	5003.09	5017.30	13632	0	36
2026.03.16	08:00:00	5017.18	5035.98	5005.68	5012.07	16711	0	36
2026.03.16	09:00:00	5012.06	5016.23	4991.82	4995.30	15720	0	36
2026.03.16	10:00:00	4995.51	5003.32	4984.91	4991.02	18221	0	36
2026.03.16	11:00:00	4991.01	4991.55	4972.47	4975.33	16963	0	36
2026.03.16	12:00:00	4975.34	4999.54	4969.84	4998.66	16925	0	36
2026.03.16	13:00:00	4998.68	5022.55	4992.50	4996.73	16002	0	36
2026.03.16	14:00:00	4996.74	5025.79	4994.32	5019.80	18073	0	36
2026.03.16	15:00:00	5019.81	5034.43	5013.74	5029.69	21789	0	36
2026.03.16	16:00:00	5029.67	5038.26	4988.16	4995.89	23429	0	36
2026.03.16	17:00:00	4995.88	5005.63	4983.64	4987.03	20772	0	36
2026.03.16	18:00:00	4987.22	4998.70	4973.86	4990.49	19376	0	36
2026.03.16	19:00:00	4991.18	5003.68	4983.84	4991.23	18097	0	36
